TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom
333968,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,1996,HONDA,ACCORD,GREEN,,03222017,1501,"(41.7843135068461, -72.6865491310455)"
333861,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AG99726,2004,KIA,OPTIMA,BLK,,03192017,1034,"(41.7586069859907, -72.6780498961026)"
334011,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AH45192,2005,HYUNDIA,ELANTRA,SILVER,,03232017,1846,"(41.7884773845192, -72.6872608260727)"
333847,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2001,AUDI,A4,GRY,,03182017,1853,"(41.7792844376045, -72.6809411505211)"
333842,,,860-296-2826,,,2000,CADILLAC,DAVILLE,WHITE,,03182017,1238,"(41.7804840445275, -72.6924869659578)"
333969,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,3AFEJ4,2010,NISSAN,ALTIMA,BLK,,03222017,1542,"(41.7945437369525, -72.6769015193605)"
333994,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AE88944,2009,MERCEDES,C300,SILVER,,03232017,0904,"(41.8058548428526, -72.7016352170474)"
333938,ELMWOOD AUTOMOTIVE,"55,TALCOTT ROAD,WEST HARTFORD,CT,99999",860-949-4444,CT,294ZTL,1998,TOYOTA,CAMRY,BROWN,,03212017,1351,"(41.7661419630316, -72.6969382192063)"
333889,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,2ANXL6,1994,OLDSM,CUTLASS,BLU,,03202017,0410,"(41.7342845006134, -72.6885129834001)"
333998,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2003,HONDA,ACCORD,TAN,,03232017,1200,"(41.7836247986579, -72.7017898347244)"
333835,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,,,2002,HONDA,ACCORD,GRAY,,03182017,0302,"(41.7799249057621, -72.6850699295522)"
334022,,,860-236-2602,CT,117MMV,2007,NISSAN,SENTRA,BLACK,,03232017,2145,"(41.7483830918738, -72.6738700445098)"
333983,,,860-296-5382,CT,AG68029,2005,CHRYSLER,300 TOURIN,SILVER,,03222017,2351,"(41.748265226813, -72.6843437078142)"
333852,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,TUPCT,2009,HONDA,CIVIC,BLU,,03182017,2245,
333913,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AD06508,2003,HYUNDAI,ELANTRA,TAN,,03202017,1713,"(41.7331160575993, -72.6879014694136)"
333911,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,5ASDG8,2004,CHEVY,CLASSIC,GRY,,03202017,1646,"(41.7561816273484, -72.6750062914469)"
333877,,,860-293-2442,CT,AF101Z4,2012,NISSAN,ALTIMA,GREY,,03192017,1622,"(41.7690369579141, -72.6727886402643)"
333839,CROSS COUNTRY TOWING,"100 AIRPORT RD. HARTFORD, CT. 06114",860-296-2826,CT,0ATFT3,1998,INFINITY,I30,BLACK,,03182017,1014,"(41.7643217328169, -72.6697474073649)"
333864,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,PA,KHG1236,2017,TOYOTA,,BLU,,03192017,1114,"(41.7651577561522, -72.6764960842378)"
334016,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2006,CHEVY,VENTURE,TAN,,03232017,2104,"(41.7918118053139, -72.6845707829382)"
333950,,,860-246-6871,WI,831YST,2001,VOLKSWAGON,JETTA,BLACK,,03212017,2138,"(41.7414279701811, -72.6993760447059)"
334035,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,0ABYG3,2014,JEEP,GR CH,BLK,,03242017,0628,"(41.7534425246731, -72.6884219605392)"
333872,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,838PCK,2012,FORD,FOCUS,GRY,,03192017,1427,"(41.742268171135, -72.6973616478865)"
333901,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,205YHL,2016,HONDA,CRV,WHITE,,03202017,1235,"(41.7428516966255, -72.6958729834794)"
333989,,,860-296-2826,CT,120UZO,2003,ACURA,3.2 TL,GRAY,,03232017,0351,"(41.7653969353552, -72.7090034496398)"
334034,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,NJ,Z23GAH,2016,HUYUNDAI,SONATA,WHITE,,03242017,0549,"(41.7980068838499, -72.7033626993134)"
333886,,,860-296-8588,CT,5ANEH7,2009,HONDA,ACCORD,BLUE,,03192017,2346,"(41.7683161730412, -72.6947171092347)"
333875,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,1997,HONDA,CIVIC,BLACK,,03192017,1546,"(41.7690405210521, -72.702359692321)"
333924,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,AH32648,1996,LEXUS,ES300,GRAY,,03212017,0907,"(41.7814943478458, -72.6999480653963)"
333931,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,1995,HONDA,ODYSSEY,RED,,03212017,1143,"(41.7578406489614, -72.6808103019698)"
333854,,,860-296-9663,CT,AD06094,2007,TOYOTA,CAMRY,SILVER,,03192017,0049,"(41.7729668835524, -72.690196675619)"
333933,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,04CN48,2005,TOYOTA,TACOMA,BLK,,03212017,1206,"(41.7720928468442, -72.6960704283967)"
333894,,,860-296-9663,,,2000,FORD,EXPLORER,BLUE,,03202017,0926,"(41.786440869989, -72.6824891332374)"
334019,,,860-293-2442,CT,AG98697,2000,NISSAN,MAXIMA,GREEN,,03232017,2126,"(41.7971488683675, -72.6759893617955)"
333843,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,AC09115,2011,TOYOTA,COROLLA,BLACK,,03182017,1438,"(41.7793364511885, -72.6848878513967)"
333880,,,860-236-2602,CT,8AFSX9,2002,NISSAN,MAXIMA,BLACK,,03192017,2029,"(41.7720620283855, -72.6953061323025)"
333920,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,AB99111,1995,FORD,WINDSTAR,RED,,03212017,0047,"(41.7786900656776, -72.6977659885267)"
333898,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,AG98860,2004,NISSAN,MAXIMA,GRAY,,03202017,1032,"(41.7721052184682, -72.6761390697759)"
333841,,,860-296-2826,CT,388XHD,2008,NISSAN,ROGUE,BLACK,,03182017,1202,"(41.7411586784414, -72.6763458846726)"
333918,,,860-296-1518,CT,AD29494,2016,HONDA,ACCORD,SILVER,,03202017,2345,"(41.7703856130109, -72.6917544949884)"
333960,,,860-246-7771,CT,166YKL,2005,HYUNDAI,AACENT,GRAY,,03222017,0925,"(41.7647524620047, -72.7004572786166)"
334003,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,858WXO,2013,KIA,OPTIMA,BLK,,03232017,1555,"(41.7603878685587, -72.6773848827661)"
333844,,,860-246-7771,CT,AC96244,2016,VOLKSWAGON,TIGUAN,WHITE,,03182017,1711,"(41.7665216259471, -72.6732177941395)"
333906,,,860-296-1426,CT,2ARVV4,2003,FORD,EXPLORER,BLUE,,03202017,1318,"(41.7757602918058, -72.6771699630357)"
333838,,,860-233-7079,CT,6ATJD7,2001,NISSAN,MAXIMA,GREY,,03182017,0942,"(41.7649045124079, -72.7000937203583)"
334008,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,MA,3TN256,2017,NISSAN,MAXIMA,BLK,,03232017,1816,"(41.8041997861125, -72.7001686028204)"
333999,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,AH35664,2003,NISSAN,ALTIMA,GRAY,,03232017,1339,"(41.7858343889291, -72.6870680207021)"
333962,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,5AFGG9,2007,AUDI,A6 3.2,BROWN,,03222017,1103,"(41.79907116422, -72.7020219504016)"
333849,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,TX,HGB8081,2003,NISSAN,PASSENGER,BLK,,03182017,2036,"(41.7603057834329, -72.7119672556016)"
334001,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,AC93671,2005,HONDA,PILOT,GRY,,03232017,1549,"(41.7603878685587, -72.6773848827661)"
333865,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,241ZFC,1999,CHEVY,LUMINA,GRY,,03192017,1114,"(41.7651577561522, -72.6764960842378)"
333970,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2000,CADILLAC,SEVILLE ST,BROWN,,03222017,1546,"(41.7945437369525, -72.6769015193605)"
333866,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,DC,DT8580,2010,HONDA,FIT,BLK,,03192017,1114,"(41.7651577561522, -72.6764960842378)"
333987,,,860-296-2826,CT,AH59923,2016,TOYOTA,COROLLA,GRAY,,03232017,0202,"(41.7685345547553, -72.6844781018684)"
333882,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,,,1992,MITS,GALANT,WHT,,03192017,2047,"(41.7584565389942, -72.6894851810671)"
333984,,,860-296-5382,CT,AD21234,2002,FORD,EXPLORER,SILVER,,03222017,2356,"(41.7657151787082, -72.6734198983794)"
333955,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,6AJHW8,2000,JEEP,GRAND CHER,GRAY,,03222017,0039,"(41.753104151146, -72.6640861799094)"
334028,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AJ52300,1998,GMC,K1500,BLK,,03242017,0048,"(41.7770758168465, -72.6739857240758)"
333923,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AB70768,2012,HONDA,ACCORD,BLACK,,03212017,0824,"(41.7408316536728, -72.7001288808916)"
334020,,,860-293-2442,CT,275YGW,2000,INFINITY,I30,WHITE,,03232017,2134,"(41.7889403134916, -72.6773488887427)"
333840,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,127ZXZ,2013,HONDA,ACCORD,GRAY,,03182017,1023,"(41.7382865986664, -72.675215111235)"
333836,,,860-246-6871,CT,HFE1265,2017,FORD,FUSION,SILVER,,03182017,0849,"(41.7778829410258, -72.6863174214815)"
333921,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,AH55454,1998,TOYOTA,CAMRY,GRY,,03212017,0454,"(41.76986410365, -72.6973314844788)"
334013,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,673UVJ,2003,TOYOTA,HIGHLANDER,BLK,,03232017,2026,"(41.7868988169266, -72.6737189475259)"
333981,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,156ZTU,2007,INFINITI,M45,BLACK,,03222017,2215,"(41.7844156967645, -72.6758527378144)"
333910,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AD06258,1994,HONDA,ACCORD,GLD,,03202017,1619,"(41.7945029192721, -72.703348119143)"
333982,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,6057CW,2006,CHEVROLET,SILVERADO,TAN,,03222017,2322,"(41.7620658017389, -72.6929330476651)"
333919,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,AH21810,2004,INFIN,FX35,GRY,,03212017,0007,"(41.7960612276174, -72.6976556061833)"
334014,,,860-233-7079,,,0000,FORD,TAURUS,GRAY,,03232017,2028,"(41.7902428574317, -72.6798443217725)"
333871,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,548NJV,2013,HYUNDAI,SONATA,GRY/BLK,,03192017,1341,"(41.7713840253933, -72.6786603548211)"
333912,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,8ASVW4,2004,AUDI,A4,BLU,,03202017,1712,"(41.7331160575993, -72.6879014694136)"
334010,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,1994,FORD,THUNDERBIR,WHITE,,03232017,1830,"(41.7588518338402, -72.6927718112808)"
333963,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,1999,PONT,SUNFIRE,TAN,,03222017,1114,"(41.7970785555996, -72.6785966310176)"
333856,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,AH29738,2000,VOLVO,S80,GRY,,03192017,0245,"(41.734354501304, -72.6987268323736)"
333909,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AH92938,2008,HYUNDAI,ELANTRA,BLU,,03202017,1618,"(41.7945029192721, -72.703348119143)"
333851,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AG32770,2007,MAZDA,MAZDA3I,BLK,,03182017,2208,"(41.7931307333749, -72.6733079958272)"
333952,,,860-233-7079,CT,AJ50380,2001,HONDA,ACCORD,BLUE,,03212017,2353,"(41.7833342112333, -72.6839261386857)"
333964,,,860-246-7616,VA,VMS2709,2016,KIA,SOUL,SILVER,,03222017,1116,"(41.7719797552195, -72.6914699341859)"
333883,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,0000,ACURA,TL,GRY,,03192017,2115,"(41.7564201933004, -72.6937976522333)"
333902,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,AD31307,2005,MERCURY,MARINER,RED,,03202017,1250,"(41.7720264806098, -72.6761170200111)"
333951,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,AB62445,2016,HONDA,ACCORD,BLK,,03212017,2341,"(41.7898507256384, -72.7086613047664)"
333859,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AD62430,2006,ACURA,3.2TL BLK,BLK,,03192017,0452,"(41.8017857158659, -72.6949161042133)"
333937,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,,,2001,NISSAN,ALTIMA,GRAY,,03212017,1243,"(41.7347451855685, -72.6770391024661)"
334021,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,591XKY,1997,TOYOT,AVALON,GRN,,03232017,2136,"(41.7598915288226, -72.6922009142043)"
333944,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2017,KIA,SORENTO,GRAY,,03212017,1931,"(41.7360255030435, -72.6916248010251)"
333863,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,AJ54816,2005,HONDA,CIVIC,MAR,,03192017,1113,"(41.7579858113367, -72.6926453046852)"
333929,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,356ULV,1998,ACURA,3.2TL,TAN,,03212017,1044,"(41.7627191110507, -72.6877379833277)"
333873,,,860-246-7771,CT,7AXGD1,2003,ACURA,TL,SILVER,,03192017,1457,"(41.7690369579141, -72.6727886402643)"
334017,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,5AFSP9,2005,HONDA,ACCORD,BLACK,,03232017,2102,"(41.7902428574317, -72.6798443217725)"
333897,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,8AJNT0,2001,TOYOTA,COROLLA,GAY,,03202017,1027,"(41.7551155622389, -72.6941231568323)"
333916,,,860-296-9663,CT,AD35532,2000,MAZDA,PROTEGE,TAN,,03202017,2001,"(41.7583163714344, -72.6908465833413)"
333885,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,6AMNF4,2007,HONDA,ACCORD,GRY,,03192017,2147,"(41.7801851516887, -72.6836913293735)"
333862,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2007,INFINITI,M35,GRY,,03192017,1037,"(41.7586069859907, -72.6780498961026)"
333915,,,860-296-9663,CT,911ZZY,2004,LEXUS,LS430,GOLD,,03202017,1912,"(41.7729444971669, -72.6951780841341)"
334015,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,AC73764,1999,DODGE,CARAVAN,GREEN,,03232017,2054,"(41.7816396869326, -72.6917995215675)"
333997,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,622ZYK,2011,VOLKSWAGEN,JETTA,GRAY,,03232017,1117,"(41.7655975940165, -72.6786147734671)"
334032,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AC24881,2005,CHRY,PACIFICA,GRY,,03242017,0337,"(41.7760403716279, -72.6826349083267)"
334018,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,2AVXB8,2013,NISS,ALTIMA,GRY,,03232017,2123,"(41.7445684150448, -72.6759547332953)"
333956,,,860-246-7771,CT,2ATXJ0,2005,HONDA,ACCORD,BLACK,,03222017,0103,"(41.7758804037429, -72.6764711676936)"
333914,,,860-296-9663,CT,862ZTJ,2002,HONDA,ODDYSSEY,RED,,03202017,1905,"(41.7549922520972, -72.6746480024871)"
333878,,,860-293-2442,CT,4AUNH9,1999,HONDA,ODYSSEY,GRAY,,03192017,1946,"(41.7864309819817, -72.6798041687796)"
333857,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,,,1996,CHEVY,LUMINA,RED,,03192017,0251,"(41.7714369406819, -72.6742856919419)"
333988,,,860-296-2826,MA,912XS4,2012,NISSAN,ALTIMA,RED,,03232017,0205,"(41.7685345547553, -72.6844781018684)"
334024,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,6ALTT4,2014,CHEVY,SONIC,GRY,,03232017,2319,"(41.7617474023063, -72.6706944510946)"
333905,,,860-296-1426,,,2000,FORD,CROWN VIC,BLUE,,03202017,1313,"(41.7526060350165, -72.6977737563822)"
334030,,,860-296-8588,CT,999999,2000,MITSUBISHI,ECLIPSE,GRAY,,03242017,0219,"(41.7463025443774, -72.6729928089595)"
333867,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AA21816,2013,TOYOTA,PRIUS,GRY,,03192017,1114,"(41.7651577561522, -72.6764960842378)"
333992,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AF30102,2008,NISSAN,ALTIMA,WHITE,,03232017,0817,"(41.763440009868, -72.692848923002)"
333941,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,1AMUE3,2000,TOYOTA,AVALON,GRY,,03212017,1829,"(41.7473561001491, -72.6832962540749)"
333971,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2008,DODGE,CALIBER SE,WHITE,,03222017,1602,"(41.7650967122593, -72.6939473333911)"
333848,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,,,1992,TOYT,CAMRY LE,GREEN,,03182017,1953,"(41.7782265396592, -72.6857801556813)"
333930,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2002,HONDA,ACCORD,GRAY,,03212017,1050,"(41.7627191110507, -72.6877379833277)"
334027,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,681YMG,2010,LEXUS,HS250H,WHI,,03242017,0048,"(41.7770758168465, -72.6739857240758)"
334002,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,161HWG,2014,TOYOTA,CAMRY,GREEN,,03232017,1552,"(41.7603878685587, -72.6773848827661)"
333928,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,566LEP,2010,ACURA,TI,GRAY,,03212017,1030,"(41.7620658017389, -72.6929330476651)"
334055,,,860-296-8588,CT,AH75658,2006,ACURA,TSX,BLACK,,03252017,0106,"(41.7692510466381, -72.6916280270324)"
334057,,,860-296-8588,NH,3137139,2011,NISSAN,SENTRA,GRAY,,03252017,0114,"(41.7683161730412, -72.6947171092347)"
333948,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,463ZCA,2010,FORD,FUSION,GRAY,,03212017,2123,"(41.7367208549766, -72.6988044217496)"
333943,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,6ARGV0,2002,DODGE,CARAVAN,GRAY,,03212017,1849,"(41.7700488798814, -72.6963981560919)"
333935,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,,,2004,MAZDA,4DR,TAN,,03212017,1219,"(41.7578406489614, -72.6808103019698)"
333972,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,3ATAL1,2001,FORD,FOCUS,BLU,,03222017,1712,"(41.7873781063601, -72.6770683022218)"
333853,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,PA,GDE1469,2016,NISS,ALT,RED,,03192017,0047,"(41.78184957933, -72.689053655562)"
334060,,,860-947-3062,CT,898ZGP,2012,TOYOTA,COROLLA,GRAY,,03252017,0206,"(41.7962018692577, -72.6629504121835)"
334065,,,860-296-9663,VA,VMU6725,2016,TOYOTA,COROLLA,GRAY,,03252017,0236,"(41.7934246595091, -72.6669571340677)"
333868,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,XMA23,2008,HONDA,ACCORD,GRY,,03192017,1121,"(41.7580143715363, -72.6917599028453)"
333904,,,860-296-1426,MA,4EE697,1999,JEEP,GRAND CHER,GRAY,,03202017,1311,"(41.7455500047108, -72.6829683964139)"
334012,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,AE43940,2008,TOYOTA,TACOMA,BLUE,,03232017,2023,"(41.7318056840502, -72.6884902080312)"
333993,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,632SPP,2011,TOYOTA,PRIUS,BLUE,,03232017,0904,"(41.8058548428526, -72.7016352170474)"
334062,,,860-947-3062,CT,696UZH,2004,FORD,EXPLORER,GRAY,,03252017,0210,"(41.7967527535189, -72.6627171197027)"
333942,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AC77921,2011,TOYOTA,AVALON,GRAY,,03212017,1829,"(41.7473561001491, -72.6832962540749)"
333986,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,MA,5VZ871,2015,CHEV,MALIBU,BROWN,,03232017,0105,"(41.7545766607923, -72.686318225896)"
333973,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,766CUD,1988,FORD,RANGER,BROWN,,03222017,1826,"(41.7554156937551, -72.6826357235785)"
333995,,,860-947-3062,CT,C104566,2014,CHEVROLET,SILVERADO,RED,,03232017,1036,"(41.766491340676, -72.7106243127497)"
333939,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,1997,GEO,PRIZM,BLUE,,03212017,1509,"(41.7471873710581, -72.6770768317213)"
